time,atmp,hrh,bpr,wxt_e_hPa,wxt_q_gkg,psy_T_dry_C,psy_T_wet_C,psy_RH_pct,psy_e_hPa,psy_q_gkg,psy_in_air,comparison_valid,dRH_psy_minus_wxt_pct,de_psy_minus_wxt_hPa,dq_psy_minus_wxt_gkg
2026-05-29 00:41:55,17.899999618530273,69.0999984741211,1008.7999877929688,14.176627651356558,8.80826438876558,18.016244397303524,17.94730030621264,99.34354863180846,20.531014425009587,12.7006539410685,True,True,30.243550157687366,6.3543867736530295,3.8923895523029213
2026-05-29 00:42:55,17.899999618530273,69.0999984741211,1008.7999877929688,14.176627651356558,8.80826438876558,18.01344072873019,17.946203169559396,99.35972993217536,20.530738871765674,12.7004660855523,True,True,30.25973145805426,6.354111220409116,3.892201696786721
2026-05-29 00:43:55,17.899999618530273,69.0999984741211,1008.7999877929688,14.176627651356558,8.80826438876558,18.00349617556151,17.93712372186377,99.36779126067556,20.519569091406034,12.6934947295785,True,True,30.267792786554466,6.342941440049476,3.885230340812921
2026-05-29 00:44:55,17.899999618530273,69.0999984741211,1008.7999877929688,14.176627651356558,8.80826438876558,18.000162577573178,17.93723864417734,99.40054843246776,20.522030949215367,12.6949969853124,True,True,30.300549958346664,6.345403297858809,3.886732596546821
2026-05-29 00:45:55,17.899999618530273,69.0999984741211,1008.9000244140624,14.176627700389618,8.80738427765505,18.024531237307716,17.947211489744404,99.26407353040806,20.52528129700857,12.6971588010347,True,True,30.16407505628696,6.34865359661895,3.88977452337965
2026-05-29 00:46:55,17.899999618530273,69.0,1008.9000244140624,14.156111909224258,8.794638619070216,18.02020301961744,17.940670729835688,99.24295821202762,20.51533146941844,12.6909768845173,True,True,30.242958212027617,6.359219560194184,3.896338265447083
2026-05-29 00:47:55,17.899999618530273,69.0999984741211,1008.9000244140624,14.176627700389618,8.80738427765505,17.985280382848373,17.92993100739818,99.47242741798074,20.517658863891782,12.692200231993901,True,True,30.372428943859646,6.341031163502164,3.884815954338851
2026-05-29 00:48:55,17.899999618530273,69.19999694824219,1008.9000244140624,14.19714349155498,8.820129936239884,18.003709406549888,17.945894929519113,99.44922489058396,20.536660604655744,12.704068936635899,True,True,30.249227942341776,6.339517113100763,3.8839390003960155
2026-05-29 00:49:55,17.899999618530273,69.0999984741211,1008.9000244140624,14.176627700389618,8.80738427765505,18.001093472352352,17.93706626077818,99.39006522432496,20.521067869092068,12.6944069893562,True,True,30.290066750203863,6.34444016870245,3.8870227117011495
2026-05-29 00:50:55,17.899999618530273,69.19999694824219,1009.0,14.197143540629037,8.819249265190107,17.994593075243927,17.941647625351948,99.49544351404596,20.534429367401035,12.7026321586458,True,True,30.295446565803772,6.337285826771998,3.8833828934556927
2026-05-29 00:51:55,17.899999618530273,69.0999984741211,1009.0,14.17662774939276,8.806504879231937,18.007823334632064,17.943627578664348,99.38857065886089,20.529445455497957,12.6996311247283,True,True,30.28857218473979,6.352817706105197,3.8931262454963633
2026-05-29 00:52:55,17.899999618530273,69.0999984741211,1009.0,14.17662774939276,8.806504879231937,17.994031469932793,17.940012508506527,99.48521559842348,20.531593315124713,12.700874291248,True,True,30.385217124302386,6.354965565731954,3.8943694120160632
2026-05-29 00:53:55,17.899999618530273,69.19999694824219,1009.0,14.197143540629037,8.819249265190107,18.02632086905618,17.957337298028108,99.34334862049369,20.54398484718756,12.708740135415301,True,True,30.143351672251498,6.346841306558522,3.8894908702251936
2026-05-29 00:54:55,17.899999618530273,69.0999984741211,1009.0,14.17662774939276,8.806504879231937,17.997203560470098,17.94121925236726,99.46655038335768,20.531836620725088,12.701044462256501,True,True,30.36655190923659,6.355208871332328,3.8945395830245637
2026-05-29 00:55:55,17.899999618530273,69.0999984741211,1009.0999755859376,14.176627798395902,8.805625656409461,17.966341723886842,17.92870878992437,99.64099896707177,20.527961905697296,12.6984564455501,True,True,30.541000492950673,6.351334107301394,3.892830789140639
2026-05-29 00:56:55,17.899999618530273,69.0999984741211,1009.0999755859376,14.176627798395902,8.805625656409461,18.023849732904296,17.95111952167349,99.3076863213637,20.533419458506497,12.702188923557499,True,True,30.20768784724261,6.356791660110595,3.8965632671480375
2026-05-29 00:57:55,17.899999618530273,69.0999984741211,1009.0999755859376,14.176627798395902,8.805625656409461,18.00495760128956,17.947749614790382,99.45501471490265,20.539468325420035,12.7058135485397,True,True,30.355016240781552,6.362840527024133,3.900187892130239
2026-05-29 00:58:55,17.899999618530273,69.19999694824219,1009.0999755859376,14.197143589703094,8.81836876999509,17.979441747516546,17.929063962021587,99.5196972286436,20.519872340595622,12.6935333441006,True,True,30.319700280401406,6.322728750892528,3.8751645741055114
2026-05-29 00:59:55,17.899999618530273,69.19999694824219,1009.0999755859376,14.197143589703094,8.81836876999509,18.001821555315587,17.9446149643058,99.45498266518376,20.535411575875173,12.703284573575601,True,True,30.254985716941576,6.338267986172079,3.884915803580512
2026-05-29 01:00:55,17.899999618530273,69.19999694824219,1009.0999755859376,14.197143589703094,8.81836876999509,18.002502839968543,17.948042189378498,99.48112720995698,20.541689922521,12.707172609390799,True,True,30.281130261714793,6.344546332817908,3.8888038393957096
2026-05-29 01:01:55,17.899999618530273,69.19999694824219,1009.0999755859376,14.197143589703094,8.81836876999509,17.99103631948134,17.945900153915204,99.56976233733964,20.545171617329714,12.709255275371,True,True,30.369765389097452,6.34802802762662,3.89088650537591
2026-05-29 01:02:55,17.799999237060547,69.19999694824219,1009.0999755859376,14.108040815766282,8.76259780528143,17.99207628741425,17.940931930501847,99.512558967828,20.534711299645483,12.7027909622264,True,True,30.312562019585812,6.426670483879201,3.9401931569449697
2026-05-29 01:03:55,17.799999237060547,69.0999984741211,1009.2000122070312,14.087653832459369,8.749061305796994,18.001181882012816,17.942201379704557,99.43809087769318,20.53109787172873,12.7006121335003,True,True,30.33809240357209,6.443444039269361,3.951550827703306
2026-05-29 01:04:55,17.899999618530273,69.0999984741211,1009.2999877929688,14.17662789643211,8.803867200857916,17.97643683811083,17.941788675570535,99.66954296729676,20.546885205439175,12.7102248030107,True,True,30.56954449317567,6.370257309007064,3.9063576021527844
