// Creator: RBR Ltd.
// Create time: 2024-06-20T18:45:36
// Instrument model firmware and serialID: RBRduo³ 1.15 233860
// Sample period: 0.5 second
// Processing history:
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
//	../data/SHS/233860_20240523_1657.rsk opened using pyRSKtools v1.1.1.
// 
timestamp(yyyy-mm-ddTHH:MM:ss.FFF),temperature(°C),temperature1(°C)
2024-05-23T15:20:31.500,    0.15111345237028218,    0.14942763914058332
2024-05-23T15:20:32.000,    0.15214628153137255,    0.15054493364738164
2024-05-23T15:20:32.500,    0.15214628153137255,    0.15054493364738164
2024-05-23T15:20:33.000,    0.15214628153137255,    0.15054493364738164
2024-05-23T15:20:33.500,    0.15214628153137255,    0.15054493364738164
2024-05-23T15:20:34.000,    0.15180361477905535,    0.150234035215135
2024-05-23T15:20:34.500,    0.15180361477905535,    0.150234035215135
2024-05-23T15:20:35.000,    0.15180361477905535,    0.150234035215135
2024-05-23T15:20:35.500,    0.15180361477905535,    0.150234035215135
2024-05-23T15:20:36.000,    0.1513595946088344,    0.14999600312933126
2024-05-23T15:20:36.500,    0.1513595946088344,    0.14999600312933126
2024-05-23T15:20:37.000,    0.1513595946088344,    0.14999600312933126
2024-05-23T15:20:37.500,    0.1513595946088344,    0.14999600312933126
2024-05-23T15:20:38.000,    0.1516202153186441,    0.15006887013799997
2024-05-23T15:20:38.500,    0.1516202153186441,    0.15006887013799997
2024-05-23T15:20:39.000,    0.1516202153186441,    0.15006887013799997
2024-05-23T15:20:39.500,    0.1516202153186441,    0.15006887013799997
2024-05-23T15:20:40.000,    0.1517891358832344,    0.14996199851208303
2024-05-23T15:20:40.500,    0.1517891358832344,    0.14996199851208303
2024-05-23T15:20:41.000,    0.1517891358832344,    0.14996199851208303
2024-05-23T15:20:41.500,    0.1517891358832344,    0.14996199851208303
2024-05-23T15:20:42.000,    0.15100727322828789,    0.1495685159031268
2024-05-23T15:20:42.500,    0.15100727322828789,    0.1495685159031268
